0.000000 -2.658859 -4.731784 -0.534332 -2.135157 4.560339 -1.763926 -2.362951 -6.189173 1.672611 7.156967 6.360619 0.625648 
0.050000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.100000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.150000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.200000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.250000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.300000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.350000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.400000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.450000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.550000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.600000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.650000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.700000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.750000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.800000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.850000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.900000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.950000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.000000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.051000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.101000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.151000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.201000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.251000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.301000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.351000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.401000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.451000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.501000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.551000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.601000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.651000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.701000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.751000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.801000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.851000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.901000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
1.951000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.001000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.051000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.101000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.151000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.201000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.251000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.301000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.351000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.401000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.451000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.501000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.551000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.601000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.651000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.701000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.751000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.801000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.851000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.901000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
2.951000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.001000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.051000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.101000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.151000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.201000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.251000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.301000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.351000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.401000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.451000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.501000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.551000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.601000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.651000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.701000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.751000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.801000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.851000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.901000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
3.951000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.001000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.051000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.101000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.151000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.201000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.251000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.301000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.351000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.401000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.451000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.501000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.551000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.601000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.651000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.701000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.751000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.801000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.851000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.901000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
4.951000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.000000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.050000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.100000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.150000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.200000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.250000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.300000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.350000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.400000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.450000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.550000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.600000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.650000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.700000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.750000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.800000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.850000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.900000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
5.950000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.000000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.050000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.100000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.150000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.200000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.250000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.300000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.350000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.400000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.450000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.550000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.600000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.650000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.700000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.750000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.800000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.850000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
6.900000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
